value,gnn_layers,batch_size,dropout,lr,epoch
38.64,1,64,0.0,0.0001,100
38.95,1,64,0.0,0.0002,70
39.18,1,64,0.0,0.0003,60
38.79,1,64,0.0,0.0004,50
39.47,1,64,0.0,0.0005,50
39.65,1,64,0.0,0.0006,50
39.56,1,64,0.0,0.0007,50
39.18,1,64,0.0,0.0008,40
38.9,1,64,0.0,0.0009,40
38.62,1,64,0.0,0.001,30
38.97,1,64,0.1,0.0001,100
38.79,1,64,0.1,0.0002,70
38.63,1,64,0.1,0.0003,60
38.57,1,64,0.1,0.0004,50
39.43,1,64,0.1,0.0005,50
38.85,1,64,0.1,0.0006,50
40.26,1,64,0.1,0.0007,50
39.03,1,64,0.1,0.0008,40
38.66,1,64,0.1,0.0009,40
38.89,1,64,0.1,0.001,30
38.89,1,64,0.2,0.0001,100
38.46,1,64,0.2,0.0002,70
38.57,1,64,0.2,0.0003,60
39.05,1,64,0.2,0.0004,50
38.84,1,64,0.2,0.0005,50
38.83,1,64,0.2,0.0006,50
38.9,1,64,0.2,0.0007,50
38.81,1,64,0.2,0.0008,40
39.03,1,64,0.2,0.0009,40
38.96,1,64,0.2,0.001,30
38.73,1,64,0.3,0.0001,100
38.66,1,64,0.3,0.0002,70
39.01,1,64,0.3,0.0003,60
39.37,1,64,0.3,0.0004,50
39.24,1,64,0.3,0.0005,50
39.1,1,64,0.3,0.0006,50
39.25,1,64,0.3,0.0007,50
39.18,1,64,0.3,0.0008,40
38.64,1,64,0.3,0.0009,40
38.9,1,64,0.3,0.001,30
38.77,1,64,0.4,0.0001,100
38.66,1,64,0.4,0.0002,70
38.68,1,64,0.4,0.0003,60
38.79,1,64,0.4,0.0004,50
38.98,1,64,0.4,0.0005,50
39.41,1,64,0.4,0.0006,50
39.02,1,64,0.4,0.0007,50
39.17,1,64,0.4,0.0008,40
38.65,1,64,0.4,0.0009,40
38.86,1,64,0.4,0.001,30
38.6,1,64,0.5,0.0001,100
39.16,1,64,0.5,0.0002,70
39.09,1,64,0.5,0.0003,60
39.2,1,64,0.5,0.0004,50
39.1,1,64,0.5,0.0005,50
39.31,1,64,0.5,0.0006,50
39.06,1,64,0.5,0.0007,50
39.43,1,64,0.5,0.0008,40
39.01,1,64,0.5,0.0009,40
38.48,1,64,0.5,0.001,30
38.86,1,64,0.6,0.0001,100
38.7,1,64,0.6,0.0002,70
38.88,1,64,0.6,0.0003,60
39.16,1,64,0.6,0.0004,50
38.92,1,64,0.6,0.0005,50
39.64,1,64,0.6,0.0006,50
39.42,1,64,0.6,0.0007,50
39.15,1,64,0.6,0.0008,40
39.62,1,64,0.6,0.0009,40
38.76,1,64,0.6,0.001,30
39.21,1,64,0.7,0.0001,100
38.78,1,64,0.7,0.0002,70
38.5,1,64,0.7,0.0003,60
38.89,1,64,0.7,0.0004,50
39.52,1,64,0.7,0.0005,50
39.31,1,64,0.7,0.0006,50
39.82,1,64,0.7,0.0007,50
38.83,1,64,0.7,0.0008,40
39.48,1,64,0.7,0.0009,40
38.99,1,64,0.7,0.001,30
39.6,1,64,0.8,0.0001,100
38.99,1,64,0.8,0.0002,70
39.51,1,64,0.8,0.0003,60
38.97,1,64,0.8,0.0004,50
39.57,1,64,0.8,0.0005,50
38.65,1,64,0.8,0.0006,50
39.07,1,64,0.8,0.0007,50
38.92,1,64,0.8,0.0008,40
39.11,1,64,0.8,0.0009,40
39.01,1,64,0.8,0.001,30
39.0,1,64,0.9,0.0001,100
38.82,1,64,0.9,0.0002,70
38.95,1,64,0.9,0.0003,60
38.81,1,64,0.9,0.0004,50
38.63,1,64,0.9,0.0005,50
38.03,1,64,0.9,0.0006,50
38.58,1,64,0.9,0.0007,50
38.31,1,64,0.9,0.0008,40
38.45,1,64,0.9,0.0009,40
37.95,1,64,0.9,0.001,30
38.78,1,32,0.0,0.0001,100
38.93,1,32,0.0,0.0002,70
38.79,1,32,0.0,0.0003,60
39.17,1,32,0.0,0.0004,50
39.3,1,32,0.0,0.0005,50
39.34,1,32,0.0,0.0006,50
39.16,1,32,0.0,0.0007,50
38.99,1,32,0.0,0.0008,40
39.99,1,32,0.0,0.0009,40
38.79,1,32,0.0,0.001,30
38.61,1,32,0.1,0.0001,100
38.78,1,32,0.1,0.0002,70
38.94,1,32,0.1,0.0003,60
38.81,1,32,0.1,0.0004,50
38.81,1,32,0.1,0.0005,50
39.55,1,32,0.1,0.0006,50
39.26,1,32,0.1,0.0007,50
38.94,1,32,0.1,0.0008,40
38.87,1,32,0.1,0.0009,40
38.41,1,32,0.1,0.001,30
38.73,1,32,0.2,0.0001,100
38.97,1,32,0.2,0.0002,70
39.14,1,32,0.2,0.0003,60
39.23,1,32,0.2,0.0004,50
39.51,1,32,0.2,0.0005,50
38.87,1,32,0.2,0.0006,50
39.01,1,32,0.2,0.0007,50
38.93,1,32,0.2,0.0008,40
39.05,1,32,0.2,0.0009,40
38.58,1,32,0.2,0.001,30
38.58,1,32,0.3,0.0001,100
38.58,1,32,0.3,0.0002,70
39.04,1,32,0.3,0.0003,60
39.55,1,32,0.3,0.0004,50
38.84,1,32,0.3,0.0005,50
38.67,1,32,0.3,0.0006,50
39.53,1,32,0.3,0.0007,50
39.06,1,32,0.3,0.0008,40
38.85,1,32,0.3,0.0009,40
39.23,1,32,0.3,0.001,30
38.72,1,32,0.4,0.0001,100
38.49,1,32,0.4,0.0002,70
38.88,1,32,0.4,0.0003,60
39.43,1,32,0.4,0.0004,50
38.96,1,32,0.4,0.0005,50
39.56,1,32,0.4,0.0006,50
38.97,1,32,0.4,0.0007,50
38.88,1,32,0.4,0.0008,40
39.49,1,32,0.4,0.0009,40
39.25,1,32,0.4,0.001,30
39.04,1,32,0.5,0.0001,100
38.76,1,32,0.5,0.0002,70
38.93,1,32,0.5,0.0003,60
39.1,1,32,0.5,0.0004,50
39.13,1,32,0.5,0.0005,50
38.8,1,32,0.5,0.0006,50
38.91,1,32,0.5,0.0007,50
38.93,1,32,0.5,0.0008,40
39.64,1,32,0.5,0.0009,40
39.93,1,32,0.5,0.001,30
39.09,1,32,0.6,0.0001,100
39.08,1,32,0.6,0.0002,70
39.13,1,32,0.6,0.0003,60
39.2,1,32,0.6,0.0004,50
39.22,1,32,0.6,0.0005,50
39.22,1,32,0.6,0.0006,50
38.98,1,32,0.6,0.0007,50
39.21,1,32,0.6,0.0008,40
39.35,1,32,0.6,0.0009,40
38.87,1,32,0.6,0.001,30
38.89,1,32,0.7,0.0001,100
39.22,1,32,0.7,0.0002,70
38.72,1,32,0.7,0.0003,60
38.86,1,32,0.7,0.0004,50
38.74,1,32,0.7,0.0005,50
38.77,1,32,0.7,0.0006,50
38.99,1,32,0.7,0.0007,50
39.45,1,32,0.7,0.0008,40
38.65,1,32,0.7,0.0009,40
38.27,1,32,0.7,0.001,30
39.32,1,32,0.8,0.0001,100
38.87,1,32,0.8,0.0002,70
39.08,1,32,0.8,0.0003,60
39.47,1,32,0.8,0.0004,50
38.97,1,32,0.8,0.0005,50
38.51,1,32,0.8,0.0006,50
39.04,1,32,0.8,0.0007,50
39.64,1,32,0.8,0.0008,40
39.02,1,32,0.8,0.0009,40
38.54,1,32,0.8,0.001,30
38.89,1,32,0.9,0.0001,100
38.68,1,32,0.9,0.0002,70
38.18,1,32,0.9,0.0003,60
38.65,1,32,0.9,0.0004,50
38.3,1,32,0.9,0.0005,50
38.58,1,32,0.9,0.0006,50
37.63,1,32,0.9,0.0007,50
39.06,1,32,0.9,0.0008,40
37.56,1,32,0.9,0.0009,40
38.25,1,32,0.9,0.001,30
38.73,1,16,0.0,0.0001,100
39.57,1,16,0.0,0.0002,70
38.45,1,16,0.0,0.0003,60
39.47,1,16,0.0,0.0004,50
39.15,1,16,0.0,0.0005,50
38.9,1,16,0.0,0.0006,50
39.13,1,16,0.0,0.0007,50
38.37,1,16,0.0,0.0008,40
39.06,1,16,0.0,0.0009,40
39.12,1,16,0.0,0.001,30
38.69,1,16,0.1,0.0001,100
39.44,1,16,0.1,0.0002,70
38.54,1,16,0.1,0.0003,60
39.17,1,16,0.1,0.0004,50
39.11,1,16,0.1,0.0005,50
39.12,1,16,0.1,0.0006,50
38.57,1,16,0.1,0.0007,50
38.84,1,16,0.1,0.0008,40
38.69,1,16,0.1,0.0009,40
39.21,1,16,0.1,0.001,30
38.51,1,16,0.2,0.0001,100
39.14,1,16,0.2,0.0002,70
39.15,1,16,0.2,0.0003,60
38.88,1,16,0.2,0.0004,50
39.38,1,16,0.2,0.0005,50
39.31,1,16,0.2,0.0006,50
39.15,1,16,0.2,0.0007,50
38.67,1,16,0.2,0.0008,40
38.4,1,16,0.2,0.0009,40
39.09,1,16,0.2,0.001,30
38.66,1,16,0.3,0.0001,100
39.14,1,16,0.3,0.0002,70
39.14,1,16,0.3,0.0003,60
38.63,1,16,0.3,0.0004,50
38.98,1,16,0.3,0.0005,50
39.12,1,16,0.3,0.0006,50
39.44,1,16,0.3,0.0007,50
38.96,1,16,0.3,0.0008,40
38.32,1,16,0.3,0.0009,40
38.84,1,16,0.3,0.001,30
38.73,1,16,0.4,0.0001,100
39.52,1,16,0.4,0.0002,70
39.1,1,16,0.4,0.0003,60
38.87,1,16,0.4,0.0004,50
39.01,1,16,0.4,0.0005,50
39.05,1,16,0.4,0.0006,50
39.06,1,16,0.4,0.0007,50
39.44,1,16,0.4,0.0008,40
39.0,1,16,0.4,0.0009,40
38.53,1,16,0.4,0.001,30
38.77,1,16,0.5,0.0001,100
38.8,1,16,0.5,0.0002,70
39.37,1,16,0.5,0.0003,60
39.07,1,16,0.5,0.0004,50
39.03,1,16,0.5,0.0005,50
39.36,1,16,0.5,0.0006,50
38.71,1,16,0.5,0.0007,50
38.28,1,16,0.5,0.0008,40
39.19,1,16,0.5,0.0009,40
39.07,1,16,0.5,0.001,30
38.82,1,16,0.6,0.0001,100
39.02,1,16,0.6,0.0002,70
39.67,1,16,0.6,0.0003,60
39.19,1,16,0.6,0.0004,50
38.94,1,16,0.6,0.0005,50
38.99,1,16,0.6,0.0006,50
38.71,1,16,0.6,0.0007,50
38.47,1,16,0.6,0.0008,40
38.6,1,16,0.6,0.0009,40
39.21,1,16,0.6,0.001,30
39.21,1,16,0.7,0.0001,100
38.73,1,16,0.7,0.0002,70
39.08,1,16,0.7,0.0003,60
38.77,1,16,0.7,0.0004,50
38.63,1,16,0.7,0.0005,50
39.14,1,16,0.7,0.0006,50
39.18,1,16,0.7,0.0007,50
39.43,1,16,0.7,0.0008,40
38.98,1,16,0.7,0.0009,40
39.31,1,16,0.7,0.001,30
39.27,1,16,0.8,0.0001,100
38.73,1,16,0.8,0.0002,70
38.74,1,16,0.8,0.0003,60
38.74,1,16,0.8,0.0004,50
39.06,1,16,0.8,0.0005,50
39.84,1,16,0.8,0.0006,50
38.94,1,16,0.8,0.0007,50
38.93,1,16,0.8,0.0008,40
38.67,1,16,0.8,0.0009,40
38.31,1,16,0.8,0.001,30
39.23,1,16,0.9,0.0001,100
39.31,1,16,0.9,0.0002,70
37.82,1,16,0.9,0.0003,60
38.26,1,16,0.9,0.0004,50
39.27,1,16,0.9,0.0005,50
38.06,1,16,0.9,0.0006,50
38.87,1,16,0.9,0.0007,50
39.53,1,16,0.9,0.0008,40
39.2,1,16,0.9,0.0009,40
37.78,1,16,0.9,0.001,30
39.01,1,8,0.0,0.0001,100
38.46,1,8,0.0,0.0002,70
38.51,1,8,0.0,0.0003,60
39.24,1,8,0.0,0.0004,50
39.26,1,8,0.0,0.0005,50
38.85,1,8,0.0,0.0006,50
38.93,1,8,0.0,0.0007,50
38.68,1,8,0.0,0.0008,40
38.47,1,8,0.0,0.0009,40
38.44,1,8,0.0,0.001,30
38.72,1,8,0.1,0.0001,100
38.63,1,8,0.1,0.0002,70
38.62,1,8,0.1,0.0003,60
39.44,1,8,0.1,0.0004,50
38.52,1,8,0.1,0.0005,50
38.33,1,8,0.1,0.0006,50
38.98,1,8,0.1,0.0007,50
38.58,1,8,0.1,0.0008,40
39.34,1,8,0.1,0.0009,40
38.97,1,8,0.1,0.001,30
38.92,1,8,0.2,0.0001,100
38.59,1,8,0.2,0.0002,70
39.03,1,8,0.2,0.0003,60
38.83,1,8,0.2,0.0004,50
39.58,1,8,0.2,0.0005,50
39.02,1,8,0.2,0.0006,50
38.85,1,8,0.2,0.0007,50
38.12,1,8,0.2,0.0008,40
39.29,1,8,0.2,0.0009,40
39.06,1,8,0.2,0.001,30
38.47,1,8,0.3,0.0001,100
38.45,1,8,0.3,0.0002,70
38.38,1,8,0.3,0.0003,60
39.01,1,8,0.3,0.0004,50
38.98,1,8,0.3,0.0005,50
39.3,1,8,0.3,0.0006,50
38.68,1,8,0.3,0.0007,50
39.14,1,8,0.3,0.0008,40
38.98,1,8,0.3,0.0009,40
39.04,1,8,0.3,0.001,30
39.04,1,8,0.4,0.0001,100
38.82,1,8,0.4,0.0002,70
38.75,1,8,0.4,0.0003,60
39.23,1,8,0.4,0.0004,50
38.69,1,8,0.4,0.0005,50
38.75,1,8,0.4,0.0006,50
38.76,1,8,0.4,0.0007,50
38.58,1,8,0.4,0.0008,40
38.41,1,8,0.4,0.0009,40
38.57,1,8,0.4,0.001,30
38.76,1,8,0.5,0.0001,100
38.45,1,8,0.5,0.0002,70
38.99,1,8,0.5,0.0003,60
38.96,1,8,0.5,0.0004,50
38.92,1,8,0.5,0.0005,50
38.88,1,8,0.5,0.0006,50
39.16,1,8,0.5,0.0007,50
38.31,1,8,0.5,0.0008,40
39.05,1,8,0.5,0.0009,40
39.06,1,8,0.5,0.001,30
38.8,1,8,0.6,0.0001,100
38.57,1,8,0.6,0.0002,70
38.61,1,8,0.6,0.0003,60
38.31,1,8,0.6,0.0004,50
38.66,1,8,0.6,0.0005,50
39.52,1,8,0.6,0.0006,50
38.93,1,8,0.6,0.0007,50
38.81,1,8,0.6,0.0008,40
38.92,1,8,0.6,0.0009,40
39.18,1,8,0.6,0.001,30
38.68,1,8,0.7,0.0001,100
38.86,1,8,0.7,0.0002,70
38.68,1,8,0.7,0.0003,60
38.69,1,8,0.7,0.0004,50
39.13,1,8,0.7,0.0005,50
38.41,1,8,0.7,0.0006,50
39.24,1,8,0.7,0.0007,50
38.35,1,8,0.7,0.0008,40
38.61,1,8,0.7,0.0009,40
38.41,1,8,0.7,0.001,30
39.15,1,8,0.8,0.0001,100
38.85,1,8,0.8,0.0002,70
39.21,1,8,0.8,0.0003,60
39.32,1,8,0.8,0.0004,50
38.7,1,8,0.8,0.0005,50
39.31,1,8,0.8,0.0006,50
39.09,1,8,0.8,0.0007,50
38.79,1,8,0.8,0.0008,40
39.26,1,8,0.8,0.0009,40
38.97,1,8,0.8,0.001,30
38.32,1,8,0.9,0.0001,100
38.83,1,8,0.9,0.0002,70
38.48,1,8,0.9,0.0003,60
38.49,1,8,0.9,0.0004,50
38.38,1,8,0.9,0.0005,50
38.62,1,8,0.9,0.0006,50
38.56,1,8,0.9,0.0007,50
38.09,1,8,0.9,0.0008,40
37.68,1,8,0.9,0.0009,40
37.46,1,8,0.9,0.001,30
